code,name,active,changed_at,source_window,collected_at,raw_json
0042,종합국가유산수리업(보수단청업),Y,,all,2026-09-05T15:39:01+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""국가유산수리 등에 관한 법률"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^6475^전문국가유산수리업(단청공사업)^0042^종합국가유산수리업(보수단청업)],[2^6476^전문국가유산수리업(목공사업)^0042^종합국가유산수리업(보수단청업)],[3^6477^전문국가유산수리업(석공사업)^0042^종합국가유산수리업(보수단청업)],[4^6478^전문국가유산수리업(번와공사업)^0042^종합국가유산수리업(보수단청업)]"", ""indstrytyCd"": ""0042"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""32"", ""indstrytyClsfcNm"": ""문화,공보"", ""indstrytyNm"": ""종합국가유산수리업(보수단청업)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
0043,전문국가유산수리업(조경업),Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""국가유산수리 등에 관한 법률"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""0043"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""32"", ""indstrytyClsfcNm"": ""문화,공보"", ""indstrytyNm"": ""전문국가유산수리업(조경업)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
0044,환경전문공사업(대기분야),Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제15조"", ""baseLawordNm"": ""환경기술 및 환경산업 지원법"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""0044"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""55"", ""indstrytyClsfcNm"": ""환경"", ""indstrytyNm"": ""환경전문공사업(대기분야)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
0045,환경전문공사업(소음진동분야),Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제15조"", ""baseLawordNm"": ""환경기술 및 환경산업 지원법"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""0045"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""55"", ""indstrytyClsfcNm"": ""환경"", ""indstrytyNm"": ""환경전문공사업(소음진동분야)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
0046,환경전문공사업(수질분야),Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제15조"", ""baseLawordNm"": ""환경기술 및 환경산업 지원법"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^6765^하ㆍ폐수처리수 재이용시설 설계ㆍ시공업^0046^환경전문공사업(수질분야)],[2^6315^가축분뇨처리시설설계ㆍ시공업^0046^환경전문공사업(수질분야)]"", ""indstrytyCd"": ""0046"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""55"", ""indstrytyClsfcNm"": ""환경"", ""indstrytyNm"": ""환경전문공사업(수질분야)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1105,설계업(종합설계),Y,,all,2026-09-05T15:38:04+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""전력기술관리법"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^7117^전력시설물설계감리자^1105^설계업(종합설계)],[2^1107^설계업(전문설계2종)^1105^설계업(종합설계)],[3^1106^설계업(전문설계1종)^1105^설계업(종합설계)]"", ""indstrytyCd"": ""1105"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""46"", ""indstrytyClsfcNm"": ""에너지"", ""indstrytyNm"": ""설계업(종합설계)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1106,설계업(전문설계1종),Y,,all,2026-09-05T15:38:04+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""전력기술관리법"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^1106^설계업(전문설계1종)^1105^설계업(종합설계)],[2^1107^설계업(전문설계2종)^1106^설계업(전문설계1종)]"", ""indstrytyCd"": ""1106"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""46"", ""indstrytyClsfcNm"": ""에너지"", ""indstrytyNm"": ""설계업(전문설계1종)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1107,설계업(전문설계2종),Y,,all,2026-09-05T15:38:04+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""전력기술관리법"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^1107^설계업(전문설계2종)^1105^설계업(종합설계)],[2^1107^설계업(전문설계2종)^1106^설계업(전문설계1종)]"", ""indstrytyCd"": ""1107"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""46"", ""indstrytyClsfcNm"": ""에너지"", ""indstrytyNm"": ""설계업(전문설계2종)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1108,감리업(종합감리),Y,,all,2026-09-05T15:38:04+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""전력기술관리법"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^1109^감리업(전문감리)^1108^감리업(종합감리)]"", ""indstrytyCd"": ""1108"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""46"", ""indstrytyClsfcNm"": ""에너지"", ""indstrytyNm"": ""감리업(종합감리)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1109,감리업(전문감리),Y,,all,2026-09-05T15:38:04+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""전력기술관리법"", ""baseLawordUrl"": """", ""inclsnLcns"": ""[1^1109^감리업(전문감리)^1108^감리업(종합감리)]"", ""indstrytyCd"": ""1109"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""46"", ""indstrytyClsfcNm"": ""에너지"", ""indstrytyNm"": ""감리업(전문감리)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:47"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1121,국가유산실측설계업,Y,,all,2026-09-05T15:39:01+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""국가유산수리 등에 관한 법률"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""1121"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""32"", ""indstrytyClsfcNm"": ""문화,공보"", ""indstrytyNm"": ""국가유산실측설계업"", ""indstrytyRgstDt"": ""2002-08-14 13:32:48"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1127,전문국가유산수리업(보존과학업),Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""국가유산수리 등에 관한 법률"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""1127"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""32"", ""indstrytyClsfcNm"": ""문화,공보"", ""indstrytyNm"": ""전문국가유산수리업(보존과학업)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:48"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1128,전문국가유산수리업(식물보호업),Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""국가유산수리 등에 관한 법률"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""1128"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""32"", ""indstrytyClsfcNm"": ""문화,공보"", ""indstrytyNm"": ""전문국가유산수리업(식물보호업)"", ""indstrytyRgstDt"": ""2002-08-14 13:32:48"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
1129,국가유산감리업,Y,,all,2026-09-05T15:39:00+00:00,"{""baseLawordArtclClauseNm"": ""제14조"", ""baseLawordNm"": ""국가유산수리 등에 관한 법률"", ""baseLawordUrl"": """", ""inclsnLcns"": """", ""indstrytyCd"": ""1129"", ""indstrytyChgDt"": ""2024-05-02 11:00:48"", ""indstrytyClsfcCd"": ""32"", ""indstrytyClsfcNm"": ""문화,공보"", ""indstrytyNm"": ""국가유산감리업"", ""indstrytyRgstDt"": ""2002-08-14 13:32:48"", ""indstrytyUseYn"": ""Y"", ""rltnRgltCntnts"": """"}"
